# time   center_error   angle_error_deg
3.040000000000002769e-03 2.070097980322316289e-04 2.496742638604951825e-01
3.050000000000002796e-03 2.067747118417173624e-04 2.504633956935798378e-01
3.060000000000002822e-03 2.065814478555694222e-04 2.512789829567977917e-01
3.070000000000002848e-03 2.064108412014320493e-04 2.520405032672369261e-01
3.080000000000002874e-03 2.061828708974644542e-04 2.528588742516797438e-01
3.090000000000002901e-03 2.059710386674851179e-04 2.536855926467362354e-01
3.100000000000002927e-03 2.057544625131413341e-04 2.545373136767267175e-01
3.110000000000002953e-03 2.055439690593630075e-04 2.553968449895690496e-01
3.120000000000002979e-03 2.053167263511568308e-04 2.561450132566487903e-01
3.130000000000003006e-03 2.051050978479906917e-04 2.569873414767777087e-01
3.140000000000003032e-03 2.048642054433003068e-04 2.578655334830837753e-01
3.150000000000003058e-03 2.046164445346221328e-04 2.588050373621771927e-01
3.160000000000003084e-03 2.044521243078634143e-04 2.596346130326149804e-01
3.170000000000003110e-03 2.041970728896558285e-04 2.605361812180864156e-01
3.180000000000003137e-03 2.039519604295492172e-04 2.613986644685610816e-01
3.190000000000003163e-03 2.036849764408543706e-04 2.622815862672254195e-01
3.200000000000003189e-03 2.034251665463671088e-04 2.631545452755983394e-01
3.210000000000003215e-03 2.031549229286611080e-04 2.640262681106199105e-01
3.220000000000003242e-03 2.029277093242853880e-04 2.648530532749272526e-01
3.230000000000003268e-03 2.026415022555738688e-04 2.657066250523082984e-01
3.240000000000003294e-03 2.023825072683393955e-04 2.666155115788639285e-01
3.250000000000003320e-03 2.021306136157363653e-04 2.674902538516537587e-01
3.260000000000003346e-03 2.018678496824577451e-04 2.683422449533752197e-01
3.270000000000003373e-03 2.016100188484415412e-04 2.691863500162348655e-01
3.280000000000003399e-03 2.013257035287097096e-04 2.700778758059033668e-01
3.290000000000003425e-03 2.010317839449271560e-04 2.709794009883099708e-01
3.300000000000003451e-03 2.007303555728867650e-04 2.718410835358228694e-01
3.310000000000003478e-03 2.004386478802189231e-04 2.727118445273188918e-01
3.320000000000003504e-03 2.001157554332166910e-04 2.735625893085364413e-01
3.330000000000003530e-03 1.998280495172366500e-04 2.744168582430526748e-01
3.340000000000003556e-03 1.995440979953855276e-04 2.752553469059222935e-01
3.350000000000003583e-03 1.992824545595794916e-04 2.760946583051288594e-01
3.360000000000003609e-03 1.990287564694881439e-04 2.769236786362413438e-01
3.370000000000003635e-03 1.986983115784823895e-04 2.777750500705132297e-01
3.380000000000003661e-03 1.983645925065502524e-04 2.786636533569609719e-01
3.390000000000003687e-03 1.980061206268146634e-04 2.795187174608017577e-01
3.400000000000003714e-03 1.977411593543365598e-04 2.803038526623706228e-01
3.410000000000003740e-03 1.974854967556893826e-04 2.811293793443181976e-01
3.420000000000003766e-03 1.971857127500697970e-04 2.819817909905441011e-01
3.430000000000003792e-03 1.969214790733531117e-04 2.827707917751515199e-01
3.440000000000003819e-03 1.966109120985493064e-04 2.835574593941164734e-01
3.450000000000003845e-03 1.962631795322522521e-04 2.844167739912017434e-01
3.460000000000003871e-03 1.959776127478107810e-04 2.853003166531977719e-01
3.470000000000003897e-03 1.956851483555510640e-04 2.861608105538663849e-01
3.480000000000003924e-03 1.953880127985030413e-04 2.869227723566428745e-01
3.490000000000003950e-03 1.950581790879368782e-04 2.877479917147462984e-01
3.500000000000003976e-03 1.947042037500068545e-04 2.886646530460968973e-01
